cell_id	clone_id	dataset_id
SA906-A96175C-R64-C49	G	SA906a
SA906-A96175C-R64-C56	E	SA906a
SA906-A96175C-R64-C60	L	SA906a
SA906-A96175C-R64-C61	F	SA906a
SA906-A96175C-R64-C63	B	SA906a
SA906-A96175C-R64-C67	B	SA906a
SA906-A96175C-R64-C69	G	SA906a
SA906-A96175C-R65-C07	F	SA906a
SA906-A96175C-R65-C08	K	SA906a
SA906-A96175C-R65-C10	E	SA906a
SA906-A96175C-R65-C11	C	SA906a
SA906-A96175C-R65-C12	G	SA906a
SA906-A96175C-R65-C13	A	SA906a
SA906-A96175C-R65-C14	L	SA906a
SA906-A96175C-R65-C17	G	SA906a
SA906-A96175C-R65-C19	B	SA906a
SA906-A96175C-R65-C20	C	SA906a
SA906-A96175C-R65-C21	G	SA906a
SA906-A96175C-R65-C24	G	SA906a
SA906-A96175C-R65-C25	G	SA906a
SA906-A96175C-R65-C27	G	SA906a
SA906-A96175C-R65-C29	J	SA906a
SA906-A96175C-R65-C32	D	SA906a
SA906-A96175C-R65-C35	I	SA906a
SA906-A96175C-R65-C39	G	SA906a
SA906-A96175C-R65-C40	I	SA906a
SA906-A96175C-R65-C43	G	SA906a
SA906-A96175C-R65-C44	G	SA906a
SA906-A96175C-R65-C46	G	SA906a
SA906-A96175C-R65-C48	B	SA906a
SA906-A96175C-R65-C49	J	SA906a
SA906-A96175C-R65-C51	J	SA906a
SA906-A96175C-R65-C52	G	SA906a
SA906-A96175C-R65-C54	C	SA906a
SA906-A96175C-R65-C56	G	SA906a
SA906-A96175C-R65-C57	B	SA906a
SA906-A96175C-R65-C60	D	SA906a
SA906-A96175C-R65-C62	C	SA906a
SA906-A96175C-R65-C63	D	SA906a
SA906-A96175C-R65-C64	G	SA906a
SA906-A96175C-R65-C66	G	SA906a
SA906-A96175C-R65-C69	K	SA906a
SA906-A96175C-R65-C70	E	SA906a
SA906-A96175C-R66-C08	C	SA906a
SA906-A96175C-R66-C09	B	SA906a
SA906-A96175C-R66-C11	B	SA906a
SA906-A96175C-R66-C12	A	SA906a
SA906-A96175C-R66-C14	D	SA906a
SA906-A96175C-R66-C17	G	SA906a
SA906-A96175C-R66-C20	G	SA906a
SA906-A96175C-R66-C28	G	SA906a
SA906-A96175C-R66-C37	G	SA906a
SA906-A96175C-R66-C38	G	SA906a
SA906-A96175C-R66-C41	G	SA906a
SA906-A96175C-R66-C47	C	SA906a
SA906-A96175C-R66-C48	G	SA906a
SA906-A96175C-R66-C51	G	SA906a
SA906-A96175C-R66-C54	B	SA906a
SA906-A96175C-R66-C56	A	SA906a
SA906-A96175C-R66-C61	F	SA906a
SA906-A96175C-R66-C62	I	SA906a
SA906-A96175C-R66-C67	C	SA906a
SA906-A96175C-R66-C70	A	SA906a
SA906-A96175C-R67-C07	G	SA906a
SA906-A96175C-R67-C08	B	SA906a
SA906-A96175C-R67-C09	E	SA906a
SA906-A96175C-R67-C12	G	SA906a
SA906-A96175C-R67-C15	G	SA906a
SA906-A96175C-R67-C16	B	SA906a
SA906-A96175C-R67-C17	D	SA906a
SA906-A96175C-R67-C19	L	SA906a
SA906-A96175C-R67-C20	B	SA906a
SA906-A96175C-R67-C21	J	SA906a
SA906-A96175C-R67-C26	B	SA906a
SA906-A96175C-R67-C27	B	SA906a
SA906-A96175C-R67-C28	C	SA906a
SA906-A96175C-R67-C33	B	SA906a
SA906-A96175C-R67-C35	A	SA906a
SA906-A96175C-R67-C39	G	SA906a
SA906-A96175C-R67-C40	G	SA906a
SA906-A96175C-R67-C41	K	SA906a
SA906-A96175C-R67-C45	G	SA906a
SA906-A96175C-R67-C46	J	SA906a
SA906-A96175C-R67-C47	C	SA906a
SA906-A96175C-R67-C48	D	SA906a
SA906-A96175C-R67-C49	G	SA906a
SA906-A96175C-R67-C51	G	SA906a
SA906-A96175C-R67-C52	E	SA906a
SA906-A96175C-R67-C56	A	SA906a
SA906-A96175C-R67-C57	C	SA906a
SA906-A96175C-R67-C60	G	SA906a
SA906-A96175C-R67-C61	G	SA906a
