V1,single_cell_id,letters,datatag,sample_id
315,SA609X6XB03404-A98284A-R15-C24,A,SA000,SA609X6XB03404
316,SA609X6XB03404-A98284A-R15-C63,A,SA000,SA609X6XB03404
317,SA609X6XB03404-A98284A-R18-C12,A,SA000,SA609X6XB03404
318,SA609X5XB03230-A98289B-R48-C11,A,SA000,SA609X5XB03230
319,SA609X5XB03230-A98289B-R51-C27,A,SA000,SA609X5XB03230
320,SA609X6XB03404-A98284A-R05-C64,A,SA000,SA609X6XB03404
321,SA609X6XB03404-A98284A-R06-C16,A,SA000,SA609X6XB03404
322,SA609X6XB03404-A98284A-R10-C70,A,SA000,SA609X6XB03404
323,SA609X6XB03404-A98284A-R12-C45,A,SA000,SA609X6XB03404
324,SA609X6XB03404-A98284A-R13-C44,A,SA000,SA609X6XB03404
325,SA609X6XB03404-A98284A-R19-C28,A,SA000,SA609X6XB03404
326,SA609X5XB03230-A98289B-R43-C19,A,SA000,SA609X5XB03230
327,SA609X5XB03230-A98289B-R47-C16,A,SA000,SA609X5XB03230
328,SA609X6XB03404-A98284A-R03-C40,A,SA000,SA609X6XB03404
329,SA609X6XB03404-A98284A-R08-C44,A,SA000,SA609X6XB03404
330,SA609X6XB03404-A98284A-R09-C23,A,SA000,SA609X6XB03404
331,SA609X6XB03404-A98284A-R09-C57,A,SA000,SA609X6XB03404
332,SA609X6XB03404-A98284A-R11-C21,A,SA000,SA609X6XB03404
333,SA609X6XB03404-A98284A-R12-C36,A,SA000,SA609X6XB03404
334,SA609X6XB03404-A98284A-R12-C60,A,SA000,SA609X6XB03404
335,SA609X6XB03404-A98284A-R21-C13,A,SA000,SA609X6XB03404
336,SA609X5XB03230-A98289B-R56-C56,A,SA000,SA609X5XB03230
337,SA609X6XB03404-A98284A-R06-C23,A,SA000,SA609X6XB03404
338,SA609X5XB03230-A98289B-R56-C68,A,SA000,SA609X5XB03230
339,SA609X6XB03404-A98284A-R07-C36,A,SA000,SA609X6XB03404
340,SA609X6XB03404-A98284A-R09-C64,A,SA000,SA609X6XB03404
341,SA609X6XB03404-A98284A-R16-C55,A,SA000,SA609X6XB03404
342,SA609X6XB03404-A98284A-R05-C54,A,SA000,SA609X6XB03404
343,SA609X6XB03404-A98284A-R08-C36,A,SA000,SA609X6XB03404
344,SA609X6XB03404-A98284A-R03-C08,A,SA000,SA609X6XB03404
345,SA609X6XB03404-A98284A-R10-C25,A,SA000,SA609X6XB03404
346,SA609X6XB03404-A98284A-R10-C47,A,SA000,SA609X6XB03404
347,SA609X6XB03404-A98284A-R11-C40,A,SA000,SA609X6XB03404
348,SA609X6XB03404-A98284A-R12-C35,A,SA000,SA609X6XB03404
349,SA609X6XB03404-A98284A-R14-C60,A,SA000,SA609X6XB03404
350,SA609X6XB03404-A98284A-R15-C32,A,SA000,SA609X6XB03404
351,SA609X6XB03404-A98284A-R18-C46,A,SA000,SA609X6XB03404
352,SA609X6XB03404-A98284A-R04-C14,A,SA000,SA609X6XB03404
353,SA609X6XB03404-A98284A-R05-C06,A,SA000,SA609X6XB03404
354,SA609X6XB03404-A98284A-R05-C49,A,SA000,SA609X6XB03404
355,SA609X6XB03404-A98284A-R08-C15,A,SA000,SA609X6XB03404
